"datasetid","success","sitename"
"2319",1,"Lac au Sable"
"232",1,"Barchampe Lake"
"2320",1,"Sagehen Marsh"
"2324",1,"Sakana Lake"
"2332",1,"Lac à Sam"
"2337",1,"Sandy Cove Pond"
"2338",1,"San Joaquin Marsh"
"234",1,"Barrett Lake"
"2340",1,"San Agustin Plains"
"2341",1,"Sarnia Elk Site Section"
"2342",1,"Lac Manitou"
"2343",1,"Lac aux Quenouilles"
"2345",0,"Sierra Bacha 1"
"2346",0,"Sierra Bacha 3"
"2347",1,"Lake Site South Burin Peninsula"
"2348",1,"SC1 Pond"
"2349",1,"Scott Lake"
"235",1,"Barry Lake"
"2352",1,"Seagull Lake"
"2353",1,"Kettle's Lake [Second Lake]"
"2355",1,"Seidel"
"236",1,"Baseball Bog"
"2366",0,NA
"2367",1,"LD Lake"
"237",0,"Basin Pond"
"2372",1,"Sewell Lake"
"2373",1,"Saint-Francois de Sales"
"2374",1,"Shady Valley Bog"
"2376",1,"Shangri-La Bog"
"2377",1,"Shaws Bog"
"2380",0,"Sheley Pond"
"2381",1,"Sherd Lake"
"2382",1,"Shouldice Lake"
"2384",1,"Silver Lake"
"2385",1,"Silver Lake"
"2386",1,"Silver"
"239",1,"Battle Ground Lake"
"2391",0,"Sinkhole Pond"
"2393",1,"Sioux Pond"
"240",1,"Battaglia Bog"
"244",1,"Beach Lake"
"245",1,"Bear Bog"
"246",1,"Beaver Lake"
"247",1,"Bechan Cave"
"2476",1,"Sleet Lake"
"249",0,"Beckman Lake"
"25",1,"Alexis Lake"
"250",1,"Beef Pasture"
"253",1,"Bell's Lake"
"254",1,"Belmont Bog"
"2576",1,"Slough Creek Pond"
"2577",1,"Slow River"
"2578",1,"Smoot Lake Bog"
"258",1,"Bereziuk"
"2580",1,"Snowshoe Lake"
"2588",1,"Splains Lake"
"2590",1,"Spring Lake"
"2591",1,"Spring Lake"
"2593",1,"Spruce Pond"
"2598",1,"Stages Pond"
"2599",1,"Starkweather Pond"
"260",1,"Berry Pond"
